"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"GH24.hmm",1175.8848220317,-0.705137644212564,0.417359936611985,-1.68951924311826,0.0911199673397744,0.226961262174962
"GH47.hmm",21309.5490184654,2.29429876070208,1.36152827257842,1.68509079606346,0.0919710551360739,0.226961262174962
"SLH.hmm",3429.52519483064,-0.414317161590817,0.246103067372049,-1.68351075837859,0.0922762584816523,0.226961262174962
"CBM22.hmm",8581.40119202919,2.0333598160195,1.20937954217063,1.68132479930161,0.0926998434673618,0.226961262174962
"GH121.hmm",4997.9230172711,2.30751948328142,1.37536403870944,1.67775179395171,0.0933955636383693,0.226961262174962
"GH36.hmm",2125.44480606069,-0.840437423199729,0.504855457773408,-1.66470899791072,0.0959708269657001,0.230738371215407
"GH95.hmm",1332.36511942365,-0.445556463281907,0.268927912641055,-1.65678772019698,0.0975624005587815,0.232095816066154
"GH38.hmm",837.987277555869,-0.701828550845572,0.430708831457036,-1.62947332301353,0.103212857771806,0.242490363327524
"GT54.hmm",15408.6907060367,1.65443589740249,1.01786492483871,1.62539827930965,0.104077722313141,0.242490363327524
"GT13.hmm",1875.06993127903,1.08878575074957,0.677826539357675,1.60628964422274,0.108210284642078,0.249146128335453
"CBM12.hmm",538.502302558566,-1.96387226854809,1.23277311728582,-1.59305247738685,0.111148419035876,0.249146128335453
"GH18.hmm",1448.77767299625,-0.461086486802063,0.289603692771549,-1.59212916931203,0.111355684185773,0.249146128335453
"GH91.hmm",2260.09387896883,-1.06793065647226,0.672434311099152,-1.58815610513187,0.112251044084672,0.249146128335453
"CBM27.hmm",8706.28714802315,-1.37806498084421,0.868186076482211,-1.58729219250782,0.112446482700071,0.249146128335453
"GT21.hmm",2355.17020500898,1.39946070583268,0.884976016746751,1.58135438627729,0.11379703074165,0.249690572306921
"AA6.hmm",1106.44222466531,0.375829117598018,0.241285750954608,1.55761007896699,0.119325707984821,0.259303942351631
"GH39.hmm",2147.64014735014,-0.504132152347462,0.328907081785398,-1.53274946106631,0.125337597286708,0.269774257017106
"CE3.hmm",2027.92850876951,-0.683182773258812,0.447834515303556,-1.52552505426191,0.127128189317557,0.271046894205358
"GH5.hmm",2851.51469952202,-1.11201749232769,0.735445141475419,-1.51203322942186,0.130525409322758,0.275689182307882
"GT9.hmm",1370.66387082581,-0.519827488618426,0.346547476585817,-1.50001810355038,0.133609713144752,0.27959069602513
"GH133.hmm",1535.00472379625,-0.373184414120718,0.253636765461037,-1.47133406879077,0.141200794122656,0.290269824437046
"GH55.hmm",823.469529599427,-1.17583821941275,0.799327397095318,-1.47103455190656,0.141281772956084,0.290269824437046
"CBM62.hmm",142.834332911124,0.821888526432672,0.566168483897519,1.45166774521741,0.146594011983216,0.298470691064926
"CBM48.hmm",8172.79302625896,-0.798114159399833,0.555819803660325,-1.43592249528335,0.151024396611444,0.304745657448092
"CBM35.hmm",1848.05714072567,1.05903450599057,0.741941606411777,1.42738255522875,0.153469656347482,0.306939312694964
"GH20.hmm",794.134318837038,-0.625324264343947,0.447779209842681,-1.39650133502992,0.162563578862362,0.322275165113104
"GH29.hmm",1122.33040133139,0.528291252546656,0.379840401955113,1.39082427732131,0.164278719348797,0.322843396285461
"GH63.hmm",1184.59571396845,0.357980052667913,0.263371755496432,1.35921960193929,0.174077011607229,0.339150039855463
"GH84.hmm",4109.66956600843,-1.48877940415947,1.10020176220197,-1.35318762004143,0.175995699248558,0.339957504531403
