kegg,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj
K12617,810.0034306,-12.36209403,2.212573367,-5.587201859,2.31E-08,9.98E-07
K05677,889.2490001,-8.943808108,1.605978708,-5.569070167,2.56E-08,1.10E-06
K11903,375.2808746,12.69338572,2.285202204,5.55460068,2.78E-08,1.19E-06
K16186,950.1207831,-12.5922772,2.270227345,-5.546703164,2.91E-08,1.24E-06
K02332,476.5353969,-9.89112763,1.787353477,-5.533951598,3.13E-08,1.32E-06
K07209,639.1697666,-12.02036321,2.177940603,-5.519141888,3.41E-08,1.43E-06
K13531,552.0388144,7.83685032,1.422678493,5.508518165,3.62E-08,1.51E-06
K14777,1446.633851,-10.92002557,1.983463839,-5.505532973,3.68E-08,1.52E-06
K18817,8622.68342,2.197711007,0.401432744,5.474668024,4.38E-08,1.80E-06
K13145,542.4325222,-11.783626,2.15533528,-5.46718931,4.57E-08,1.87E-06
K02197,278.9408851,11.30321694,2.073885037,5.450262061,5.03E-08,2.05E-06
K16619,440.698127,-11.4839845,2.108697111,-5.446009501,5.15E-08,2.08E-06
K04670,1542.877039,-11.52958236,2.117474408,-5.444968929,5.18E-08,2.08E-06
K11067,972.0097643,-9.988789662,1.835430982,-5.442203908,5.26E-08,2.10E-06
K03700,3954.763482,-2.142890167,0.39409807,-5.437454107,5.40E-08,2.15E-06
K10534,1238.21469,-7.062639481,1.300097671,-5.432391457,5.56E-08,2.20E-06
K18674,756.6847828,-8.594357854,1.585135587,-5.421843989,5.90E-08,2.32E-06
K15028,713.9147992,-9.588254914,1.770622444,-5.415188849,6.12E-08,2.38E-06
K03851,275.6052437,12.24746365,2.261822521,5.41486502,6.13E-08,2.38E-06
K13138,1062.067214,-9.148014042,1.691470312,-5.408320784,6.36E-08,2.46E-06
K18855,466.4518907,6.999659492,1.297813271,5.393425732,6.91E-08,2.65E-06
K12001,1087.108083,-7.899245828,1.466569721,-5.386205451,7.20E-08,2.75E-06
K16944,1441.428941,-10.31193739,1.915449734,-5.383559384,7.30E-08,2.77E-06
K17785,758.31877,-6.613105808,1.228606204,-5.382608183,7.34E-08,2.77E-06
K16697,759.1225255,-4.413027286,0.820313042,-5.379686849,7.46E-08,2.80E-06
