full_classification	GM1a_eukulele_ALL.txt	GM4c_eukulele_ALL.txt	GM4a_eukulele_ALL.txt	GM1c_eukulele_ALL.txt	GM4b_eukulele_ALL.txt	GM1b_eukulele_ALL.txt
Archaea; Euryarchaeota; Methanomicrobia; Methanomicrobia; Methanomicrobiales; Methanomicrobiaceae	6739.785290000002	2889.707669999997	4720.9248600000055	5083.842949999996	4890.71746	4375.825210000004
Archaea; Euryarchaeota; Methanomicrobia; Methanomicrobia; Methanomicrobiales; Methanomicrobiaceae; Methanolacinia	2602.209339999999	402.2725	979.2313999999996	1531.8176700000004	1381.3089200000013	1038.9355299999995
Archaea; Euryarchaeota; Methanomicrobia; Methanomicrobia; Methanosarcinales	68365.81174000016	50575.10501999999	65015.82096000012	53825.79341000002	59658.70503999992	40914.18885000004
Archaea; Euryarchaeota; Methanomicrobia; Methanomicrobia; Methanosarcinales; Methanosarcinaceae	9103.554939999996	4213.356999999998	6695.871969999993	6272.198150000002	5995.787650000003	4292.432139999997
Archaea; Euryarchaeota; Methanomicrobia; Methanomicrobia; Methanosarcinales; Methanosarcinaceae; Methanococcoides	2.40875	3.85409	5.913639999999999	1.42	1.96124	2.67874
Archaea; Euryarchaeota; Methanomicrobia; Methanomicrobia; Methanosarcinales; Methanosarcinaceae; Methanohalobium	36.48623	5.41762	5.22562		1.63985	1.68831
Archaea; Euryarchaeota; Methanomicrobia; Methanomicrobia; Methanosarcinales; Methanosarcinaceae; Methanohalophilus	5.1359	26.30819	49.95623			5.1764
Archaea; Euryarchaeota; Methanomicrobia; Methanomicrobia; Methanosarcinales; Methanosarcinaceae; Methanosarcina	316.18493	80.99195	110.24622	165.39800999999997	226.72239	162.44437000000005
Archaea; Euryarchaeota; Methanopyri	305.72186	45.82683	165.01799	235.23825	38.32594	188.39985
Archaea; Euryarchaeota; Methanopyri; Methanopyri	2020.66983	742.6984499999999	1044.35572	1265.93608	1248.6565599999997	732.11798
Archaea; Euryarchaeota; Methanopyri; Methanopyri; Methanopyrales	843.4671000000001	362.87837	984.80349	832.2843700000001	2107.105589999999	523.8098299999999
Archaea; Euryarchaeota; Methanopyri; Methanopyri; Methanopyrales; Methanopyraceae	3.73284	2.65789	7.69895	1.44444	1.87582	
Archaea; Euryarchaeota; Stenosarchaea group	413.277	1154.2457600000002	1265.1700599999997	97.07952	1190.0477	179.1352
Archaea; Euryarchaeota; Stenosarchaea group; Halobacteria	5134.416429999999	4930.7484	5579.194939999996	4309.644429999999	4012.1467900000007	2541.02215
Archaea; Euryarchaeota; Stenosarchaea group; Halobacteria; Haloferacales	348.9276100000001	444.50977	683.4149499999999	194.03425	537.9707000000003	153.19054999999997
Archaea; Euryarchaeota; Stenosarchaea group; Halobacteria; Haloferacales; Haloferacaceae	71.53295	1.50256	4.20513	115.58812	9.03195	60.95983
Archaea; Euryarchaeota; Stenosarchaea group; Halobacteria; Haloferacales; Halorubraceae	71.85382	25.26042	5.06074	57.29778	132.14999	3.8933
Archaea; Euryarchaeota; Thermococci	3911.061739999999	4074.0502299999994	4327.020759999999	2227.5728400000003	4050.058219999999	2184.475360000001
Archaea; Euryarchaeota; Thermococci; Thermococci	48687.750379999976	40867.12348999997	48128.6768999999	39791.65800999999	50206.64970999998	27210.13364
Archaea; Euryarchaeota; Thermococci; Thermococci; Thermococcales	14221.780670000007	11143.933660000015	10406.49313	12051.66353	10755.59539	7954.48382
Archaea; Euryarchaeota; Thermococci; Thermococci; Thermococcales; Thermococcaceae	2413.30331	2410.858949999998	3625.753249999997	2263.23501	4443.595539999998	1385.6784200000004
Archaea; Euryarchaeota; Thermococci; Thermococci; Thermococcales; Thermococcaceae; Pyrococcus	5.44279		13.55577		17.68363	7.352119999999999
Archaea; Euryarchaeota; Thermococci; Thermococci; Thermococcales; Thermococcaceae; Thermococcus	3.10036	18.27963	53.81835999999999	3.52503	63.9852	5.77246
Archaea; Euryarchaeota; Thermoplasmata	325.97175	41.62322	22.82985	89.46096	12.77071	31.13729
Archaea; Euryarchaeota; Thermoplasmata; Thermoplasmata	1603.7440300000003	1428.76021	1308.0190799999998	293.43956	1286.94019	212.9575
